Subproducto,Producto,Valor Vivienda,AFORO,Plazo,Ingresos Requeridos,Tasa de Interes,Tipo de Tasa,CAT sin IVA,Pago,Frecuencia de Pago
1,0,$400000.00,32.0,0,"$4,991",10.25%,Fija,19.3%,"$3,244",Mensual
2,0,$1500000.00,85.0,0,"$43,785",10.25%,Fija,13.1%,"$28,461",Mensual
3,0,$2000000.00,85.0,0,"$58,202",10.25%,Fija,12.9%,"$37,831",Mensual
4,0,$2500000.00,85.0,0,"$72,619",10.25%,Fija,12.9%,"$47,202",Mensual
5,0,$3000000.00,85.0,0,"$87,035",10.25%,Fija,12.8%,"$56,573",Mensual
6,0,$3500000.00,85.0,0,"$101,452",10.25%,Fija,12.8%,"$65,944",Mensual
7,0,$4000000.00,85.0,0,"$115,869",10.25%,Fija,12.7%,"$75,315",Mensual
8,0,$4500000.00,85.0,0,"$130,285",10.25%,Fija,12.7%,"$84,686",Mensual
9,0,$5000000.00,85.0,0,"$144,702",10.25%,Fija,12.7%,"$94,056",Mensual
10,0,$5500000.00,85.0,0,"$159,119",10.25%,Fija,12.7%,"$103,427",Mensual
11,0,$6000000.00,85.0,0,"$173,535",10.25%,Fija,12.7%,"$112,798",Mensual
12,0,$6500000.00,85.0,0,"$187,952",10.25%,Fija,12.7%,"$122,169",Mensual
13,0,$7000000.00,85.0,0,"$202,369",10.25%,Fija,12.6%,"$131,540",Mensual
14,0,$7500000.00,85.0,0,"$216,785",10.25%,Fija,12.6%,"$140,911",Mensual
15,0,$8000000.00,85.0,0,"$231,202",10.25%,Fija,12.6%,"$150,281",Mensual
16,0,$8500000.00,85.0,0,"$245,619",10.25%,Fija,12.6%,"$159,652",Mensual
17,0,$9000000.00,85.0,0,"$260,035",10.25%,Fija,12.6%,"$169,023",Mensual
18,0,$9500000.00,85.0,0,"$274,452",10.25%,Fija,12.6%,"$178,394",Mensual
19,0,$10000000.00,85.0,0,"$288,869",10.25%,Fija,12.6%,"$187,765",Mensual
20,0,$400000.00,32.0,1,"$3,412",10.25%,Fija,17.9%,"$2,218",Mensual
21,0,$1500000.00,86.7,1,"$28,587",10.25%,Fija,12.6%,"$18,582",Mensual
22,0,$2000000.00,90.0,1,"$39,341",10.25%,Fija,12.5%,"$25,572",Mensual
23,0,$2500000.00,92.0,1,"$50,096",10.25%,Fija,12.4%,"$32,562",Mensual
24,0,$3000000.00,93.3,1,"$60,850",10.25%,Fija,12.3%,"$39,552",Mensual
25,0,$3500000.00,94.3,1,"$71,604",10.25%,Fija,12.3%,"$46,542",Mensual
26,0,$4000000.00,95.0,1,"$82,358",10.25%,Fija,12.3%,"$53,533",Mensual
27,0,$4500000.00,95.0,1,"$92,586",10.25%,Fija,12.3%,"$60,181",Mensual
28,0,$5000000.00,95.0,1,"$102,814",10.25%,Fija,12.2%,"$66,829",Mensual
29,0,$5500000.00,95.0,1,"$113,041",10.25%,Fija,12.3%,"$73,477",Mensual
30,0,$6000000.00,95.0,1,"$123,269",10.25%,Fija,12.2%,"$80,125",Mensual
31,0,$6500000.00,95.0,1,"$133,497",10.25%,Fija,12.2%,"$86,773",Mensual
32,0,$7000000.00,95.0,1,"$143,725",10.25%,Fija,12.2%,"$93,421",Mensual
33,0,$7500000.00,95.0,1,"$153,953",10.25%,Fija,12.2%,"$100,069",Mensual
34,0,$8000000.00,95.0,1,"$164,180",10.25%,Fija,12.2%,"$106,717",Mensual
35,0,$8500000.00,95.0,1,"$174,408",10.25%,Fija,12.2%,"$113,365",Mensual
36,0,$9000000.00,95.0,1,"$184,636",10.25%,Fija,12.2%,"$120,013",Mensual
